id_movimiento,fecha,sku,refaccion,categoria,region,cantidad,costo_unitario,costo_total,lead_time_dias,critica,hubo_stockout
MOV-00472,02/01/2025,REF-112,Capacitor de arranque,Electrico,Centro,2.0,252.61,505.22,4,No,False
MOV-01366,29/04/2025,REF-106,Termostato digital,Control,Sureste,3.0,598.76,1796.28,5,No,False
MOV-01961,25/08/2025,REF-104,Gas refrigerante R-134a,Refrigerante,Bajio,3.0,941.28,2823.84,4,Si,False
MOV-00931,21/09/2025,REF-103,Compresor 3/4 HP,Compresor,Bajio,2.0,8070.54,16141.08,18,Si,False
MOV-00752,16/07/2025,REF-114,Valvula de expansion,Control,Bajio,2.0,1295.17,2590.34,11,No,False
MOV-00195,02/02/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Sureste,1.0,1463.33,1463.33,6,Si,False
MOV-01333,04/07/2025,REF-118,Contactor,Electrico,Bajio,1.0,418.86,418.86,5,No,False
MOV-00494,20/07/2025,REF-115,Resistencia de deshielo,Electrico,Centro,3.0,614.54,1843.62,6,No,False
MOV-01207,06/05/2025,REF-108,Empaque de puerta,Sello,Sureste,3.0,502.96,1508.88,7,Si,False
MOV-00082,26/06/2025,REF-108,Empaque de puerta,Sello,Sureste,3.0,495.83,1487.49,7,Si,True
MOV-00618,27/11/2025,REF-104,Gas refrigerante R-134a,Refrigerante,Occidente,2.0,1042.74,2085.48,4,Si,False
MOV-00251,17/06/2025,REF-108,Empaque de puerta,Sello,Occidente,3.0,,1618.68,7,Si,False
MOV-02044,03/07/2025,REF-110,Ventilador condensador,Ventilacion,Centro,2.0,1017.59,2035.18,9,No,False
MOV-01283,02/06/2025,REF-118,Contactor,Electrico,Sureste,1.0,444.18,444.18,5,No,False
MOV-01258,08/03/2025,REF-104,Gas refrigerante R-134a,Refrigerante,Sureste,2.0,976.63,1953.26,4,Si,False
MOV-01127,23/09/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Sureste,1.0,1363.69,1363.69,6,Si,False
MOV-01672,08/01/2025,REF-113,Filtro deshidratador,Filtro,Norte,3.0,157.37,472.11,5,No,False
MOV-01731,30/08/2025,REF-112,Capacitor de arranque,Electrico,Occidente,3.0,251.7,755.1,4,No,False
MOV-00155,22/11/2025,REF-102,Compresor 1/2 HP,Compresor,Centro,1.0,6159.24,6159.24,14,Si,False
MOV-01064,11/11/2025,REF-111,Rele de arranque,Electrico,Occidente,1.0,196.85,196.85,3,No,False
MOV-01573,17/02/2025,REF-104,Gas refrigerante R-134a,Refrigerante,Centro,2.0,1014.63,2029.26,4,Si,False
MOV-01644,10/01/2025,REF-102,Compresor 1/2 HP,Compresor,Centro,1.0,6246.25,6246.25,14,Si,False
MOV-01307,05/08/2025,REF-101,Compresor 1/3 HP,Compresor,Occidente,3.0,5237.86,15713.58,12,Si,False
MOV-01321,27/12/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Occidente,1.0,1415.08,1415.08,6,Si,False
MOV-00356,14/09/2025,REF-114,Valvula de expansion,Control,Bajio,1.0,1531.68,1531.68,11,No,False
MOV-01010,28/02/2025,REF-118,Contactor,Electrico,Centro,1.0,400.31,400.31,5,No,False
MOV-00441,03/11/2025,REF-118,Contactor,Electrico,Centro,2.0,450.9,901.8,5,No,False
MOV-00643,03/07/2025,REF-114,Valvula de expansion,Control,Norte,1.0,1368.63,1368.63,11,No,False
MOV-01345,09/04/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Bajio,2.0,1374.01,2748.02,6,Si,False
MOV-01550,14/12/2025,REF-110,Ventilador condensador,Ventilacion,Centro,2.0,1088.2,2176.4,9,No,False
MOV-01866,13/12/2025,REF-106,Termostato digital,Control,Sureste,1.0,698.72,698.72,5,No,False
MOV-02047,24/06/2025,REF-113,Filtro deshidratador,Filtro,Occidente,3.0,157.88,473.64,5,No,False
MOV-00351,30/03/2025,REF-111,Rele de arranque,Electrico,Centro,1.0,205.58,205.58,3,No,False
MOV-01452,14/08/2025,REF-106,Termostato digital,Control,Centro,2.0,680.31,1360.62,5,No,False
MOV-01412,26/11/2025,REF-104,Gas refrigerante R-134a,Refrigerante,Norte,3.0,950.1,2850.3,4,Si,False
MOV-00791,28/10/2025,REF-104,Gas refrigerante R-134a,Refrigerante,Centro,3.0,1090.72,3272.16,4,Si,False
MOV-00211,11/01/2025,REF-112,Capacitor de arranque,Electrico,Occidente,2.0,268.1,536.2,4,No,True
MOV-00029,10/09/2025,REF-117,Sensor de temperatura,Control,Occidente,1.0,328.96,328.96,4,No,False
MOV-00086,02/06/2025,REF-117,Sensor de temperatura,Control,Occidente,3.0,333.87,1001.61,4,No,False
MOV-02069,03/04/2025,REF-115,Resistencia de deshielo,Electrico,Bajio,1.0,598.36,598.36,6,No,False
MOV-01539,04/11/2025,REF-106,Termostato digital,Control,Occidente,3.0,706.53,2119.59,5,No,True
MOV-00574,25/01/2025,REF-101,Compresor 1/3 HP,Compresor,Occidente,1.0,4751.1,4751.1,12,Si,False
MOV-01904,09/09/2025,REF-114,Valvula de expansion,Control,Centro,1.0,1285.57,1285.57,11,No,False
