folio,fecha_apertura,fecha_cierre,cliente,region,tipo_equipo,tipo_servicio,falla_reportada,tecnico_id,requiere_refaccion,horas_respuesta,costo_servicio,reincidencia_30d,estatus
F-202500070,2025-06-21 07:00,2025-06-22 04:30,Cliente 045,Centro,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-005,No,21.5,1983.71,No,Cerrado
F-202500922,2025-07-28 07:00,2025-07-30 03:54,Cliente 003, Centro ,Refrigerador vertical,Correctivo,Acumulacion de hielo,TEC-025,No,44.9,12171.24,No,Cerrado
F-202501230,2025-04-16 07:00,2025-04-18 10:06,Cliente 045,Centro,Vitrina refrigerada,Correctivo,Fuga de refrigerante,TEC-010,Si,51.1,16178.75,No,Cerrado
F-202500596,2025-10-20 07:00,2025-10-22 18:42,Cliente 017,Occidente,Maquina de hielo,Correctivo,Acumulacion de hielo,TEC-032,Si,59.7,13724.46,No,Cerrado
F-202501240,2025-01-15 17:00,2025-01-17 23:54,Cliente 036,Centro,Vitrina refrigerada,Correctivo,Falla de compresor,TEC-017,Si,54.9,8785.58,No,Cerrado
F-202500714,2025-10-06 17:00,2025-10-09 07:30,Cliente 036, Norte ,Maquina de hielo,Instalacion,Acumulacion de hielo,TEC-021,Si,62.5,6830.35,No,Cerrado
F-202500812,2025-11-17 16:00,2025-11-18 09:24,Cliente 030,Bajio,Refrigerador vertical,Correctivo,Puerta / empaque danado,TEC-019,No,17.4,12698.99,No,Cerrado
F-202500200,2025-12-18 15:00,2025-12-20 03:36,Cliente 049,Centro,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-003,Si,36.6,2714.84,No,Cerrado
F-202501162,2025-07-02 11:00,2025-07-03 18:36,Cliente 004,Norte,Congelador horizontal,Correctivo,Fuga de refrigerante,,No,31.6,5993.42,No,Cerrado
F-202500762,2025-07-21 09:00,2025-07-22 09:54,Cliente 040,Centro,Refrigerador vertical,Correctivo,Termostato descalibrado,TEC-020,No,24.9,5712.88,No,Cerrado
F-202501190,2025-01-03 11:00,2025-01-04 00:00,Cliente 010,Bajio,Maquina de hielo,Instalacion,Fuga de refrigerante,TEC-002,No,13.0,13034.16,No,Cerrado
F-202500516,2025-02-08 13:00,2025-02-09 18:48,Cliente 009,Centro,Congelador horizontal,Correctivo,Termostato descalibrado,TEC-020,No,29.8,10711.37,Si,Cerrado
F-202501157,2025-02-13 16:00,2025-02-14 07:42,Cliente 044,Centro,Maquina de hielo,Correctivo,Puerta / empaque danado,TEC-037,Si,15.7,8764.64,No,Cerrado
F-202500362,2025-11-22 11:00,2025-11-23 17:54,Cliente 046,Centro,Maquina de hielo,Correctivo,Termostato descalibrado,TEC-038,No,30.9,6989.1,No,En proceso
F-202500604,2025-02-19 12:00,2025-02-21 16:30,Cliente 007,Norte,Vitrina refrigerada,Correctivo,Acumulacion de hielo,TEC-002,Si,52.5,13760.64,No,Cerrado
F-202500051,2025-10-05 10:00,2025-10-06 15:06,Cliente 023,Occidente,Refrigerador vertical,Correctivo,Fuga de refrigerante,TEC-034,Si,29.1,8330.26,No,Cerrado
F-202501262,2025-12-04 16:00,2025-12-07 04:00,Cliente 015,Bajio,Vitrina refrigerada,Correctivo,Fuga de refrigerante,TEC-035,Si,60.0,7779.48,No,Cerrado
F-202500850,2025-08-10 12:00,2025-08-12 00:06,Cliente 026,Bajio,Vitrina refrigerada,Instalacion,Termostato descalibrado,TEC-032,No,36.1,9497.64,No,Cerrado
F-202500826,2025-02-03 14:00,2025-02-05 19:06,Cliente 019, Centro ,Camara fria,Correctivo,Falla de compresor,TEC-001,No,53.1,10559.08,No,Cerrado
F-202500567,2025-03-25 11:00,2025-03-26 01:30,Cliente 015,Norte,Camara fria,Preventivo,Mantenimiento programado,TEC-028,No,14.5,2329.84,No,Cerrado
F-202500808,2025-02-10 17:00,2025-02-10 22:42,Cliente 008,Bajio,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-006,No,5.7,2261.34,No,Cerrado
F-202500478,2025-01-07 17:00,2025-01-09 19:18,Cliente 031,Centro,Refrigerador vertical,Correctivo,Problema electrico,TEC-018,Si,1660.2,11805.92,No,Cerrado
F-202500304,2025-11-24 09:00,2025-11-26 14:18,Cliente 018,Norte,Vitrina refrigerada,Correctivo,Fuga de refrigerante,TEC-015,Si,53.3,12905.03,No,En proceso
F-202501158,2025-11-07 17:00,2025-11-09 05:30,Cliente 041,Centro,Maquina de hielo,Correctivo,Fuga de refrigerante,TEC-015,Si,36.5,18491.18,No,Cerrado
F-202500855,2025-04-16 10:00,2025-04-17 00:30,Cliente 016,Sureste,Refrigerador vertical,Preventivo,Mantenimiento programado,TEC-028,No,14.5,1754.94,No,Cerrado
F-202500104,2025-01-03 10:00,2025-01-04 20:42,Cliente 056,Bajio,Maquina de hielo,Correctivo,Fuga de refrigerante,TEC-017,Si,,13648.03,No,Cerrado
F-202501015,2025-07-09 11:00,2025-07-10 11:48,Cliente 006,Bajio,Refrigerador vertical,Correctivo,Fuga de refrigerante,TEC-001,No,24.8,8702.81,No,Cerrado
F-202501107,2025-03-31 12:00,2025-04-02 03:30,Cliente 028,Sureste,Vitrina refrigerada,Instalacion,Termostato descalibrado,TEC-036,No,39.5,8429.69,No,Cerrado
